"Account_Domain","Account_Name",ComputerName,"Error_Code",EventCode,EventType,Exception,Function,"Handle_ID",Keywords,LogName,"Logon_ID",Message,"New_Security_Descriptor","Object_Name","Object_Server","Object_Type",OpCode,"Original_Security_Descriptor",Path,"Process_ID","Process_Name",RecordNumber,"ScriptBlock_ID","Security_ID",Sid,SidType,Source,SourceName,TaskCategory,Type,User,Warning,"_raw","_time","date_hour","date_mday","date_minute","date_month","date_second","date_wday","date_year","date_zone",eventtype,flags,host,index,linecount,punct,source,sourcetype,"splunk_server","splunk_server_group",timeendpos,timestartpos
,,"Ayesha-Maliha",,1254,4,,,,"WNP Transport Layer","Microsoft-Windows-PushNotification-Platform/Operational",,"WNP Transport Layer for Data Connection detected preferred interface change. Old index 0, old address family 0. New index 15, new address family 0, NDIS_PHYSICAL_MEDIUM 9.",,,,,Info,,,,,46195,,,"S-1-5-18",0,,"Microsoft-Windows-PushNotifications-Platform",None,Information,"NOT_TRANSLATED",,"10/11/2024 05:00:48 PM
LogName=Microsoft-Windows-PushNotification-Platform/Operational
EventCode=1254
EventType=4
ComputerName=Ayesha-Maliha
User=NOT_TRANSLATED
Sid=S-1-5-18
SidType=0
SourceName=Microsoft-Windows-PushNotifications-Platform
Type=Information
RecordNumber=46195
Keywords=WNP Transport Layer
TaskCategory=None
OpCode=Info
Message=WNP Transport Layer for Data Connection detected preferred interface change. Old index 0, old address family 0. New index 15, new address family 0, NDIS_PHYSICAL_MEDIUM 9.","2024-10-11T17:00:48.000+0500",17,11,0,october,48,friday,2024,local,,,"AYESHA-MALIHA",main,15,"//_::_=---/===-==---==---===__===_________.___,___","WinEventLog:Microsoft-Windows-PushNotification-Platform/Operational","WinEventLog:Microsoft-Windows-PushNotification-Platform/Operational","Ayesha-Maliha",,23,0
,,"Ayesha-Maliha",,1254,4,,,,"WNP Transport Layer","Microsoft-Windows-PushNotification-Platform/Operational",,"WNP Transport Layer for Data Connection detected preferred interface change. Old index 15, old address family 0. New index 0, new address family 0, NDIS_PHYSICAL_MEDIUM 0.",,,,,Info,,,,,46191,,,"S-1-5-18",0,,"Microsoft-Windows-PushNotifications-Platform",None,Information,"NOT_TRANSLATED",,"10/11/2024 05:00:45 PM
LogName=Microsoft-Windows-PushNotification-Platform/Operational
EventCode=1254
EventType=4
ComputerName=Ayesha-Maliha
User=NOT_TRANSLATED
Sid=S-1-5-18
SidType=0
SourceName=Microsoft-Windows-PushNotifications-Platform
Type=Information
RecordNumber=46191
Keywords=WNP Transport Layer
TaskCategory=None
OpCode=Info
Message=WNP Transport Layer for Data Connection detected preferred interface change. Old index 15, old address family 0. New index 0, new address family 0, NDIS_PHYSICAL_MEDIUM 0.","2024-10-11T17:00:45.000+0500",17,11,0,october,45,friday,2024,local,,,"AYESHA-MALIHA",main,15,"//_::_=---/===-==---==---===__===_________.___,___","WinEventLog:Microsoft-Windows-PushNotification-Platform/Operational","WinEventLog:Microsoft-Windows-PushNotification-Platform/Operational","Ayesha-Maliha",,23,0
,,"Ayesha-Maliha","Unknown HResult Error code: 0x80000000",1,2,,LoadCacheEntriesAsync,,None,"Microsoft-Windows-Store/Operational",,"Corrupted PersistentPerUserCache index, creating a new one (userId = ""0"").
Error Code: Unknown HResult Error code: 0x80000000
Function: LoadCacheEntriesAsync
Source: .\src\Core\WinStore.Core\DataModel\PersistentPerUserCache.CacheIndex.cs (293)",,,,,Info,,,,,164373,,,"S-1-5-21-663109325-190050996-3763433200-1001",0,".\src\Core\WinStore.Core\DataModel\PersistentPerUserCache.CacheIndex.cs (293)","Windows-ApplicationModel-Store-SDK",StorefrontClient,Error,"NOT_TRANSLATED",,"10/10/2024 10:21:34 PM
LogName=Microsoft-Windows-Store/Operational
EventCode=1
EventType=2
ComputerName=Ayesha-Maliha
User=NOT_TRANSLATED
Sid=S-1-5-21-663109325-190050996-3763433200-1001
SidType=0
SourceName=Windows-ApplicationModel-Store-SDK
Type=Error
RecordNumber=164373
Keywords=None
TaskCategory=StorefrontClient
OpCode=Info
Message=Corrupted PersistentPerUserCache index, creating a new one (userId = ""0"").
Error Code: Unknown HResult Error code: 0x80000000
Function: LoadCacheEntriesAsync
Source: .\src\Core\WinStore.Core\DataModel\PersistentPerUserCache.CacheIndex.cs (293)","2024-10-10T22:21:34.000+0500",22,10,21,october,34,thursday,2024,local,,,"AYESHA-MALIHA",main,18,"//_::_=--/===-==-------==---======__,_____(_=_"""").","WinEventLog:Microsoft-Windows-Store/Operational","WinEventLog:Microsoft-Windows-Store/Operational","Ayesha-Maliha",,23,0
,,"Ayesha-Maliha",,1254,4,,,,"WNP Transport Layer","Microsoft-Windows-PushNotification-Platform/Operational",,"WNP Transport Layer for Data Connection detected preferred interface change. Old index 0, old address family 0. New index 15, new address family 0, NDIS_PHYSICAL_MEDIUM 9.",,,,,Info,,,,,45951,,,"S-1-5-18",0,,"Microsoft-Windows-PushNotifications-Platform",None,Information,"NOT_TRANSLATED",,"10/10/2024 10:01:52 PM
LogName=Microsoft-Windows-PushNotification-Platform/Operational
EventCode=1254
EventType=4
ComputerName=Ayesha-Maliha
User=NOT_TRANSLATED
Sid=S-1-5-18
SidType=0
SourceName=Microsoft-Windows-PushNotifications-Platform
Type=Information
RecordNumber=45951
Keywords=WNP Transport Layer
TaskCategory=None
OpCode=Info
Message=WNP Transport Layer for Data Connection detected preferred interface change. Old index 0, old address family 0. New index 15, new address family 0, NDIS_PHYSICAL_MEDIUM 9.","2024-10-10T22:01:52.000+0500",22,10,1,october,52,thursday,2024,local,,,"AYESHA-MALIHA",main,15,"//_::_=---/===-==---==---===__===_________.___,___","WinEventLog:Microsoft-Windows-PushNotification-Platform/Operational","WinEventLog:Microsoft-Windows-PushNotification-Platform/Operational","Ayesha-Maliha",,23,0
,,"Ayesha-Maliha",,1254,4,,,,"WNP Transport Layer","Microsoft-Windows-PushNotification-Platform/Operational",,"WNP Transport Layer for Data Connection detected preferred interface change. Old index 15, old address family 0. New index 0, new address family 0, NDIS_PHYSICAL_MEDIUM 0.",,,,,Info,,,,,45930,,,"S-1-5-18",0,,"Microsoft-Windows-PushNotifications-Platform",None,Information,"NOT_TRANSLATED",,"10/10/2024 10:01:08 PM
LogName=Microsoft-Windows-PushNotification-Platform/Operational
EventCode=1254
EventType=4
ComputerName=Ayesha-Maliha
User=NOT_TRANSLATED
Sid=S-1-5-18
SidType=0
SourceName=Microsoft-Windows-PushNotifications-Platform
Type=Information
RecordNumber=45930
Keywords=WNP Transport Layer
TaskCategory=None
OpCode=Info
Message=WNP Transport Layer for Data Connection detected preferred interface change. Old index 15, old address family 0. New index 0, new address family 0, NDIS_PHYSICAL_MEDIUM 0.","2024-10-10T22:01:08.000+0500",22,10,1,october,8,thursday,2024,local,,,"AYESHA-MALIHA",main,15,"//_::_=---/===-==---==---===__===_________.___,___","WinEventLog:Microsoft-Windows-PushNotification-Platform/Operational","WinEventLog:Microsoft-Windows-PushNotification-Platform/Operational","Ayesha-Maliha",,23,0
,,"Ayesha-Maliha",,1254,4,,,,"WNP Transport Layer","Microsoft-Windows-PushNotification-Platform/Operational",,"WNP Transport Layer for Data Connection detected preferred interface change. Old index 0, old address family 0. New index 15, new address family 0, NDIS_PHYSICAL_MEDIUM 9.",,,,,Info,,,,,45837,,,"S-1-5-18",0,,"Microsoft-Windows-PushNotifications-Platform",None,Information,"NOT_TRANSLATED",,"10/10/2024 10:00:23 PM
LogName=Microsoft-Windows-PushNotification-Platform/Operational
EventCode=1254
EventType=4
ComputerName=Ayesha-Maliha
User=NOT_TRANSLATED
Sid=S-1-5-18
SidType=0
SourceName=Microsoft-Windows-PushNotifications-Platform
Type=Information
RecordNumber=45837
Keywords=WNP Transport Layer
TaskCategory=None
OpCode=Info
Message=WNP Transport Layer for Data Connection detected preferred interface change. Old index 0, old address family 0. New index 15, new address family 0, NDIS_PHYSICAL_MEDIUM 9.","2024-10-10T22:00:23.000+0500",22,10,0,october,23,thursday,2024,local,,,"AYESHA-MALIHA",main,15,"//_::_=---/===-==---==---===__===_________.___,___","WinEventLog:Microsoft-Windows-PushNotification-Platform/Operational","WinEventLog:Microsoft-Windows-PushNotification-Platform/Operational","Ayesha-Maliha",,23,0
,,"Ayesha-Maliha",,1254,4,,,,"WNP Transport Layer","Microsoft-Windows-PushNotification-Platform/Operational",,"WNP Transport Layer for Data Connection detected preferred interface change. Old index 15, old address family 0. New index 0, new address family 0, NDIS_PHYSICAL_MEDIUM 0.",,,,,Info,,,,,45829,,,"S-1-5-18",0,,"Microsoft-Windows-PushNotifications-Platform",None,Information,"NOT_TRANSLATED",,"10/10/2024 10:00:21 PM
LogName=Microsoft-Windows-PushNotification-Platform/Operational
EventCode=1254
EventType=4
ComputerName=Ayesha-Maliha
User=NOT_TRANSLATED
Sid=S-1-5-18
SidType=0
SourceName=Microsoft-Windows-PushNotifications-Platform
Type=Information
RecordNumber=45829
Keywords=WNP Transport Layer
TaskCategory=None
OpCode=Info
Message=WNP Transport Layer for Data Connection detected preferred interface change. Old index 15, old address family 0. New index 0, new address family 0, NDIS_PHYSICAL_MEDIUM 0.","2024-10-10T22:00:21.000+0500",22,10,0,october,21,thursday,2024,local,,,"AYESHA-MALIHA",main,15,"//_::_=---/===-==---==---===__===_________.___,___","WinEventLog:Microsoft-Windows-PushNotification-Platform/Operational","WinEventLog:Microsoft-Windows-PushNotification-Platform/Operational","Ayesha-Maliha",,23,0
,,"Ayesha-Maliha",,1254,4,,,,"WNP Transport Layer","Microsoft-Windows-PushNotification-Platform/Operational",,"WNP Transport Layer for Test Connection detected preferred interface change. Old index 0, old address family 0. New index 15, new address family 0, NDIS_PHYSICAL_MEDIUM 9.",,,,,Info,,,,,45581,,,"S-1-5-18",0,,"Microsoft-Windows-PushNotifications-Platform",None,Information,"NOT_TRANSLATED",,"10/10/2024 08:56:34 PM
LogName=Microsoft-Windows-PushNotification-Platform/Operational
EventCode=1254
EventType=4
ComputerName=Ayesha-Maliha
User=NOT_TRANSLATED
Sid=S-1-5-18
SidType=0
SourceName=Microsoft-Windows-PushNotifications-Platform
Type=Information
RecordNumber=45581
Keywords=WNP Transport Layer
TaskCategory=None
OpCode=Info
Message=WNP Transport Layer for Test Connection detected preferred interface change. Old index 0, old address family 0. New index 15, new address family 0, NDIS_PHYSICAL_MEDIUM 9.","2024-10-10T20:56:34.000+0500",20,10,56,october,34,thursday,2024,local,,,"AYESHA-MALIHA",main,15,"//_::_=---/===-==---==---===__===_________.___,___","WinEventLog:Microsoft-Windows-PushNotification-Platform/Operational","WinEventLog:Microsoft-Windows-PushNotification-Platform/Operational","Ayesha-Maliha",,23,0
,,"Ayesha-Maliha",,1254,4,,,,"WNP Transport Layer","Microsoft-Windows-PushNotification-Platform/Operational",,"WNP Transport Layer for Data Connection detected preferred interface change. Old index 0, old address family 0. New index 15, new address family 0, NDIS_PHYSICAL_MEDIUM 9.",,,,,Info,,,,,45537,,,"S-1-5-18",0,,"Microsoft-Windows-PushNotifications-Platform",None,Information,"NOT_TRANSLATED",,"10/10/2024 08:54:38 PM
LogName=Microsoft-Windows-PushNotification-Platform/Operational
EventCode=1254
EventType=4
ComputerName=Ayesha-Maliha
User=NOT_TRANSLATED
Sid=S-1-5-18
SidType=0
SourceName=Microsoft-Windows-PushNotifications-Platform
Type=Information
RecordNumber=45537
Keywords=WNP Transport Layer
TaskCategory=None
OpCode=Info
Message=WNP Transport Layer for Data Connection detected preferred interface change. Old index 0, old address family 0. New index 15, new address family 0, NDIS_PHYSICAL_MEDIUM 9.","2024-10-10T20:54:38.000+0500",20,10,54,october,38,thursday,2024,local,,,"AYESHA-MALIHA",main,15,"//_::_=---/===-==---==---===__===_________.___,___","WinEventLog:Microsoft-Windows-PushNotification-Platform/Operational","WinEventLog:Microsoft-Windows-PushNotification-Platform/Operational","Ayesha-Maliha",,23,0
,,"Ayesha-Maliha",,1254,4,,,,"WNP Transport Layer","Microsoft-Windows-PushNotification-Platform/Operational",,"WNP Transport Layer for Test Connection detected preferred interface change. Old index 15, old address family 0. New index 0, new address family 0, NDIS_PHYSICAL_MEDIUM 0.",,,,,Info,,,,,45513,,,"S-1-5-18",0,,"Microsoft-Windows-PushNotifications-Platform",None,Information,"NOT_TRANSLATED",,"10/10/2024 08:54:02 PM
LogName=Microsoft-Windows-PushNotification-Platform/Operational
EventCode=1254
EventType=4
ComputerName=Ayesha-Maliha
User=NOT_TRANSLATED
Sid=S-1-5-18
SidType=0
SourceName=Microsoft-Windows-PushNotifications-Platform
Type=Information
RecordNumber=45513
Keywords=WNP Transport Layer
TaskCategory=None
OpCode=Info
Message=WNP Transport Layer for Test Connection detected preferred interface change. Old index 15, old address family 0. New index 0, new address family 0, NDIS_PHYSICAL_MEDIUM 0.","2024-10-10T20:54:02.000+0500",20,10,54,october,2,thursday,2024,local,,,"AYESHA-MALIHA",main,15,"//_::_=---/===-==---==---===__===_________.___,___","WinEventLog:Microsoft-Windows-PushNotification-Platform/Operational","WinEventLog:Microsoft-Windows-PushNotification-Platform/Operational","Ayesha-Maliha",,23,0
